virus_protein	virus_taxa	human_protein	human_gene_name	human_taxa
dip:DIP-47204N|refseq:NP_044879|uniprotkb:O41958	33708	dip:DIP-103N|uniprotkb:Q96Q89	KIF20B	9606
dip:DIP-29968N|uniprotkb:P03406	11686	dip:DIP-1051N|refseq:NP_002101|uniprotkb:P08631	HCK	9606
uniprotkb:P03406	11686	uniprotkb:P08631	HCK	9606
dip:DIP-29212N|uniprotkb:P03407	11685	dip:DIP-1051N|refseq:NP_002101|uniprotkb:P08631	HCK	9606
dip:DIP-29968N|uniprotkb:P03406	11686	dip:DIP-1051N|refseq:NP_002101|uniprotkb:P08631	HCK	9606
uniprotkb:P03406	11686	uniprotkb:P08631	HCK	9606
uniprotkb:Q6VGT6	28285	uniprotkb:P19838	NFKB1	9606
dip:DIP-61714N|uniprotkb:Q2KRZ4	28285	dip:DIP-106N|refseq:NP_003989|uniprotkb:P19838	NFKB1	9606
dip:DIP-522N|uniprotkb:Q05499	10407	dip:DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	GTF2B	9606
dip:DIP-524N|refseq:NP_044650	10298	dip:DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	GTF2B	9606
dip:DIP-524N|refseq:NP_044650	10298	dip:DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	GTF2B	9606
dip:DIP-47191N|refseq:NP_044899|uniprotkb:O41962	33708	dip:DIP-1136N|refseq:NP_001104026|uniprotkb:P21333	FLNA	9606
dip:DIP-59042N|uniprotkb:P88988	33708	dip:DIP-1136N|refseq:NP_001104026|uniprotkb:P21333	FLNA	9606
dip:DIP-1160N|uniprotkb:Q86504	10927	dip:DIP-1161N|uniprotkb:Q04637	EIF4G1	9606
dip:DIP-47244N|refseq:NP_044864|uniprotkb:P88980	33708	dip:DIP-122N|uniprotkb:P35222	CTNNB1	9606
dip:DIP-60873N|refseq:NP_647606|uniprotkb:Q69027	928302	dip:DIP-125N|uniprotkb:P10275	AR	9606
uniprotkb:Q69027	928302	uniprotkb:P10275	AR	9606
dip:DIP-570N|uniprotkb:P03254	10515	dip:DIP-147N|uniprotkb:P21675	TAF1	9606
uniprotkb:P03129	333760	uniprotkb:P28749	RBL1	9606
dip:DIP-1090N|refseq:NP_041326|uniprotkb:P03129	333760	dip:DIP-148N|uniprotkb:P28749	RBL1	9606
dip:DIP-48542N|refseq:NP_957785|uniprotkb:Q6TVW2	10258	dip:DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVW2	647330	uniprotkb:Q13616	CUL1	9606
dip:DIP-48544N|refseq:NP_957903|uniprotkb:Q6TVJ4	10258	dip:DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	CUL1	9606
dip:DIP-48543N|refseq:NP_957900|uniprotkb:Q6TVJ7	10258	dip:DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVJ1	647330	uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVW2	647330	uniprotkb:Q13616	CUL1	9606
uniprotkb:Q6TVJ2	647330	uniprotkb:Q13616	CUL1	9606
dip:DIP-48545N|refseq:NP_957905|uniprotkb:Q6TVJ2	10258	dip:DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	CUL1	9606
