taxid	scientific_name	domain
10239		Viruses
10240		Viruses
10241		Viruses
10242		Viruses
10243		Viruses
10244		Viruses
10245		Viruses
10246		Viruses
10247		Viruses
10248		Viruses
10249		Viruses
10250		Viruses
10251		Viruses
10252		Viruses
10253		Viruses
10254		Viruses
10255		Viruses
10256		Viruses
10257		Viruses
10258		Viruses
10259		Viruses
10260		Viruses
10261		Viruses
10263		Viruses
10264		Viruses
10265		Viruses
10266		Viruses
10268		Viruses
10269		Viruses
10270		Viruses
10271		Viruses
10272		Viruses
10273		Viruses
10274		Viruses
10275		Viruses
10276		Viruses
10277		Viruses
10278		Viruses
10279		Viruses
10280		Viruses
10281		Viruses
10282		Viruses
10283		Viruses
10284		Viruses
10286		Viruses
10288		Viruses
10290		Viruses
10291		Viruses
10292		Viruses
10293		Viruses
10294		Viruses
10295		Viruses
10296		Viruses
10297		Viruses
10298		Viruses
10299		Viruses
10300		Viruses
10301		Viruses
10302		Viruses
10303		Viruses
10304		Viruses
10305		Viruses
10306		Viruses
10307		Viruses
10308		Viruses
10309		Viruses
10310		Viruses
10312		Viruses
10313		Viruses
10314		Viruses
10315		Viruses
10316		Viruses
10317		Viruses
10319		Viruses
10320		Viruses
10321		Viruses
10322		Viruses
10323		Viruses
10324		Viruses
10325		Viruses
10326		Viruses
10327		Viruses
10328		Viruses
10329		Viruses
10330		Viruses
10331		Viruses
10333		Viruses
10334		Viruses
10335		Viruses
10338		Viruses
10343		Viruses
10344		Viruses
10345		Viruses
10346		Viruses
10349		Viruses
10350		Viruses
10353		Viruses
10355		Viruses
10357		Viruses
10358		Viruses
10359		Viruses
10360		Viruses
10361		Viruses
10362		Viruses
10363		Viruses
10364		Viruses
10365		Viruses
10366		Viruses
10367		Viruses
10368		Viruses
10369		Viruses
10370		Viruses
10371		Viruses
10372		Viruses
10373		Viruses
10374		Viruses
10375		Viruses
10376		Viruses
10377		Viruses
10378		Viruses
10379		Viruses
10380		Viruses
10381		Viruses
10382		Viruses
10383		Viruses
10384		Viruses
10385		Viruses
10386		Viruses
10387		Viruses
10388		Viruses
10389		Viruses
10390		Viruses
10391		Viruses
10392		Viruses
10395		Viruses
10397		Viruses
10398		Viruses
10401		Viruses
10404		Viruses
10405		Viruses
10406		Viruses
10407		Viruses
10408		Viruses
10409		Viruses
10410		Viruses
10411		Viruses
10412		Viruses
10413		Viruses
10414		Viruses
10415		Viruses
10418		Viruses
10419		Viruses
10421		Viruses
10422		Viruses
10423		Viruses
10424		Viruses
10425		Viruses
10426		Viruses
